ORDEM DO MêRITO AERONµUTICO;;;;;;;;;;;
;;;;;;;;;;;
INS÷GNIAS - INSTITUIÄÂES;;;;;;;;;;;
;;;;;;;;;;;
(Atualizada atÇ Outubro de 2019);;;;;;;;;;;
;;;;;;;;;;;
NR;SIGLA_ORG;DESCRIÄ«O;INSTITUIC«O;CATEG;DT_INSIG;DT_DOU;REG;;;;
140;EME;Estado-Maior do ExÇrcito;ExÇrcito;Estandarte;30/09/2010;01/10/2010;11063;;;;
141;FAYS;Fazenda da Aeron†utica de Pirassununga;Aeron†utica;Estandarte;12/11/1948;16/10/2018;13505;;;;
142;FAP;Foráa AÇrea Paraguaia;Exterior;Estandarte;06/09/2004;08/09/2004;9234;;;;
143;FundOs;Fundaá∆o Os¢rio;ExÇrcito;Estandarte;19/10/1965;20/10/1965;1419;;;;
144;GABAER;Gabinete do Ministro da Aeron†utica;Aeron†utica;Estandarte;21/09/1995;22/09/1995;;;;;
145;GONFAL«O;Gonfal∆o da Foráa Expedicion†ria Brasileira na It†lia;Exterior;Bandeira;30/09/2010;01/10/2010;11065;;;;
146;GONFAL«O;Gonfal∆o do Primeiro Grupo de Aviaá∆o de Caáa (1ß Gavca);Exterior;Estandarte;18/12/1943;13/10/2016;13157;;;;
147;GAP BR;Grupamento de Apoio de Bras°lia;Aeron†utica;Estandarte;25/09/2008;26/09/2008;10015;;;;
148;GptFNNA;Grupamento de Fuzileiros Navais de Natal;Marinha;Estandarte;01/10/2003;02/10/2003;8987;;;;
149;GTE;Grupo de Transporte Especial;Aeron†utica;Estandarte;14/10/1992;15/10/1992;6226;;;;
150;GEIV;Grupo Especial de Inspeá∆o em Vìo;Aeron†utica;Estandarte;28/09/1999;29/09/1999;7759;;;;
151;HCA;Hospital Central da Aeron†utica;Aeron†utica;Estandarte;26/09/2005;27/09/2005;9474;;;;
152;HABE;Hospital de Aeron†utica de BelÇm;Aeron†utica;Estandarte;21/09/1995;22/09/1995;;;;;
153;HACO;Hospital de Aeron†utica de Canoas;Aeron†utica;Estandarte;20/09/1985;23/09/1985;4719;;;;
154;HARF;Hospital de Aeron†utica de Recife;Aeron†utica;Estandarte;11/09/1996;12/09/1996;7118;;;;
155;HASP;Hospital de Aeron†utica de S∆o Paulo;Aeron†utica;Estandarte;26/09/2005;27/09/2005;9475;;;;
156;HAAF;Hospital de Aeron†utica dos Afonsos;Aeron†utica;Estandarte;21/09/1995;22/09/1995;;;;;
157;HFAG;Hospital de Foráa AÇrea do Gale∆o;Aeron†utica;Estandarte;26/09/2005;27/09/2005;9485;;;;
158;ICRJ;Iate Clube do Rio de Janeiro;Outros;Bandeira;25/03/1920;23/09/2019;14268;;;;
159;IAE;Instituto de Aeron†utica e Espaáo;Aeron†utica;Estandarte;25/10/2013;25/10/2013;12108;;;;
160;ILA;Instituto de Log°stica da Aeron†utica;Aeron†utica;Estandarte;02/10/2017;03/10/2017;13490;;;;
161;INCAER;Instituto Hist¢rico-Cultural da Aeron†utica;Aeron†utica;Estandarte;16/02/1996;21/10/2015;12830;;;;
162;IME;Instituto Militar de Engenharia;ExÇrcito;Estandarte;12/09/1990;11/10/1990;5817;;;;
163;ITA;Instituto Tecnol¢gico de Aeron†utica;Aeron†utica;Estandarte;21/06/2007;22/10/2014;12478;;;;
164;JID;Junta Interamericana de Defesa;Exterior;Estandarte;30/03/1942;13/10/2016;13107;;;;
165;LAQFA;Laborat¢rio Qu°mico-Farmacàutico da Aeron†utica;Aeron†utica;Estandarte;26/09/2005;27/09/2005;9476;;;;
166;LDN;Liga da Defesa Nacional;Outras;Estandarte;04/10/2007;05/10/2007;10006;;;;
167;MINDEF;MinistÇrio da Defesa;Outros;Bandeira;20/09/2006;21/09/2006;9496;;;;
168;MMA;MinistÇrio da Marinha;Marinha;Estandarte;11/09/1996;12/09/1996;7120;;;;
169;MEX;MinistÇrio do ExÇrcito;ExÇrcito;Estandarte;11/09/1996;12/09/1996;7121;;;;
170;MisTir;Miss∆o Tiri¢s;Civil/Religiosa;Bandeira;14/10/1992;15/10/1992;6227;;;;
171;;MusÇe de L'Air et de L'Espace;Outros;;07/06/2006;08/06/2006;;;;;
172;MUSAL;Museu Aeroespacial;Aeron†utica;Estandarte;17/10/2002;18/10/2002;8592;;;;
173;NAelMG-Mar;Navio Aer¢dromo Minas Gerais;Marinha;Bandeira;19/10/1970;19/10/1970;1991;;;;
174;NAESPAULO;Navio-Aer¢dromo S∆o Paulo;Marinha;Estandarte;26/09/2005;27/09/2005;9479;;;;
175;9ß Btl Eng Cmb;Nono Batalh∆o de Engenharia de Combate - Batalh∆o Carlos Camis∆o;ExÇrcito;Estandarte;30/09/2010;01/10/2010;11064;;;;
176;NUHFAB;N£cleo do Hospital de Foráa AÇrea de Bras°lia;Aeron†utica;Estandarte;26/09/2005;27/09/2005;9477;;;;
177;OABR;Odontocl°nica de Aeron†utica de Bras°lia;Aeron†utica;Estandarte;26/09/2005;27/09/2005;9478;;;;
178;8ß GAC Pqdt;Oitavo Grupo de Artilharia de Campanha Paraquedista;ExÇrcito;Estandarte;29/10/2013;29/10/2013;12107;;;;
179;PIPAR;Pagadoria de Inativos e Pensionistas da Aeron†utica;Aeron†utica;Estandarte;19/10/2012;22/10/2012;11799;;;;
180;PAMA GL;Parque de Material Aero†utico do Gale∆o;Aeron†utica;Estandarte;09/09/2004;21/10/2015;12831;;;;
181;PAMA LS;Parque de Material Aeron†utico de Lagoa Santa;Aeron†utica;Estandarte;01/09/1987;02/09/1987;5045;;;;
182;PAMA RF;Parque de Material Aeron†utico de Recife;Aeron†utica;Estandarte;12/09/1990;11/10/1990;5819;;;;
183;PAMA SP;Parque de Material Aeron†utico de S∆o Paulo;Aeron†utica;Estandarte;08/09/1989;22/09/1989;5528;;;;
184;PAMA AF;Parque de Material Aeron†utico dos Afonsos;Aeron†utica;Estandarte;20/09/1985;23/09/1985;4717;;;;
185;PM-DF;Pol°cia Militar do Distrito Federal;Pol°cia Militar;Estandarte;23/09/1993;15/10/1993;;;;;
186;PME-MG;Pol°cia Militar do Estado de Minas Gerais ;Pol°cia Militar;Estandarte;29/09/2009;30/09/2009;10650;;;;
187;PABR;Prefeitura de Aeron†utica de Bras°lia ;Aeron†utica;Estandarte;25/09/2008;26/09/2008;10017;;;;
188;PARF;Prefeitura de Aeron†utica de Recife;Aeron†utica;Estandarte;26/06/1946;13/10/2016;13156;;;;
189;PAGL;Prefeitura de Aeron†utica do Gale∆o;Aeron†utica;Estandarte;14/03/1951;24/09/2019;14267;;;;
190;1¶ ALADA;Primeira Ala de Defesa AÇrea;Aeron†utica;Bandeira;02/10/1978;03/10/1978;;;;;
191;1¶ BAAAE;Primeira Brigada de Artilharia Anti AÇrea;ExÇrcito;Estandarte;14/10/1992;15/10/1992;6225;;;;
192;I FAE;Primeira Foráa AÇrea;Aeron†utica;Estandarte;03/07/2006;22/10/2014;12477;;;;
193;1ß B Com Sl;Primeiro Batalh∆o de Comunicaá∆o de Selva;ExÇrcito;Estandarte;;22/10/2014;12480;;;;
194;1¯ BEngC-Ex;Primeiro Batalh∆o de Engenharia de Combate;ExÇrcito;Bandeira;23/10/1963;23/10/1963;1199;;;;
195;1¯ BFE;Primeiro Batalh∆o de Foráas Especiais;ExÇrcito;Estandarte;04/10/2007;05/10/2007;10003;;;;
196;1 BFr-Ex;Primeiro Batalh∆o de Fronteiras;ExÇrcito;Bandeira;15/10/1963;16/10/1963;1194;;;;
197;CINDACTA 1;Primeiro Centro Integrado de Defesa AÇrea e Controle de Trafego AÇreo;Aeron†utica;;23/09/1993;15/10/1993;;;;;
198;I COMAR;Primeiro Comando AÇreo Regional;Aeron†utica;Estandarte;18/09/1991;25/09/1991;;;;;
199;ESQDVF-1;Primeiro Esquadr∆o de Avi‰es de Interceptaá∆o e Ataque;Marinha;Estandarte;26/09/2005;27/09/2005;9480;;;;
200;1¯ Esqd C Mec;Primeiro Esquadr∆o de Cavalaria Leve - Esquadr∆o Tenente Amaro;ExÇrcito;Estandarte;26/09/2005;27/09/2005;9481;;;;
201;1ß ESQDHS-1;Primeiro Esquadr∆o de Helic¢pteros Anti-Submarinos;Marinha;Bandeira;25/09/2008;26/09/2008;10016;;;;
202;ESQDHU-1;Primeiro Esquadr∆o de Helic¢pteros de Emprego Geral;Marinha;Estandarte;26/10/2013;26/10/2013;12106;;;;
203;ESQDHA-1;Primeiro Esquadr∆o de Helic¢pteros de Esclarecimento e Ataque;Marinha;Estandarte;29/09/2009;30/09/2009;10648;;;;
