ORD;QUALIFICAÇÃO;AGRACIADO;PORTARIA;DATA
3614;Suboficial QSS SAD;Clemilson dos Santos;141/SC;19/02/2002
3615;Suboficial QSS SMU;Cleneu Heinemann;90/SCC;22/02/1999
3616;Major QOEARM;Cleo Dilnei Azevedo de Oliveira;931/SCC;12/12/1989
3617;Suboficial QSS BCO;Cleobulo Vitor da Conceição Filho;141/SC;19/02/2002
3618;Suboficial QSS BMA;Cleodir José de Paula;051/SCC;26/02/1993
3619;Segundo-Sargento QSS BMA;Cleodon Gomes da Silva;091/SCC;20/01/1980
3620;Suboficial QSS SAD;Cleomar de Oliveira;193/SCC;20/02/1995
3621;Primeiro-Sargento de Cavalaria;Cleomar Meneses Brasil;130/SCGC;03/02/2014
3622;Primeiro-Sargento QSS BCO;Cléon José Silva Sobrinho;968-A/SCC;14/12/1990
3623;Suboficial SEF;Cleones Nascimento da Silva;80/SC;26/02/2008
3624;Suboficial QSS SOB;Clerinaldo Gomes de Salles;116/SCC;20/01/1984
3625;Suboficial (AV-CV);Cleriston Sousa Magalhães;106/SC;21/02/2007
3626;Suboficial BEI;Cleser Diogenes de Assis;81/SC;07/02/2011
3627;Suboficial QSS BEP;Cléside Ferreira da Silva;247/SC;06/03/2006
3628;Suboficial BET;Clesio Hipolito Pinto Junior;81/SC;07/02/2011
3629;Senhora;Clesione Alves Gomes;130/SCGC;03/02/2014
3630;Senhor;Cleto Aparecido Rodrigues;29/SCGC;29/01/2016
3631;Primeiro-Sargento QSS SGS;Cleto Valdir Linzmeier;047/SCC;20/01/1981
3632;Senhor;Cleuber Correia Rocha;931/SCC;12/12/1989
3633;Suboficial (AV-VS);Cleucir Cardoso de Oliveira;6/SCGC;08/01/2018
3634;Suboficial QFG SAD;Cleusa Aparecida de Oliveira;189/SC;07/02/2013
3635;Suboficial QSS SAD;Cleuton Moreira Gonzaga;051/SCC;26/02/1993
3636;Segundo-Sargento QSS BMA;Cleverson Hoffmann Ojeda;189/SC;07/02/2013
3637;Terceiro-Sargento;Cleverson Lelio Barbosa;80/SC;26/02/2008
3638;Senhora;Cleyta Pinto de Alvarenga Ferreira;047/SCC;20/01/1981
3639;Suboficial BEP;Clezer Judney da Costa Pereira;80/SC;26/02/2008
3640;Suboficial QSS SAD;Clézer Xavier Rocha;193/SCC;20/02/1995
3641;Primeiro-Sargento QSS SEL;Clito dos Santos Santana;10/SCGC;10/01/2019
3642;Segundo-Sargento QSS BMA;Clodoaldo Casagrande Trink;189/SC;07/02/2013
3643;Senhor;Clodoaldo da Gama;110/SCC;28/01/1980
3644;Primeiro-Sargento de Aviação/Manutenção;Clodoaldo dos Santos Lisboa;182/SCGC;18/02/2015
3645;Suboficial QSS BMB;Clodoaldo Francisco de Souza;113/SCC;28/02/2000
3646;Primeiro-Sargento de Infantaria;Clodoaldo Rodrigues Roberto;106/SC;21/02/2007
3647;Suboficial QSS BET;Clodomir Araujo Ribeiro de Sant'ana;189/SC;07/02/2013
3648;Suboficial QSS SAD;Clodomir Dantas Mesquita;161/SC;21/02/2003
3649;Suboficial QSS BMA;Clovemniudo Cipriano da Silva;90/SCC;22/02/1999
3650;Suboficial QSS BFT;Cloves Farias Merenda;130/SCGC;03/02/2014
3651;Cabo QCB SAD;Clóves Fonseca Coelho;1194/SCC;15/12/1986
3652;Suboficial QSS BMB;Clóves Paulino Rocha;193/SCC;20/02/1995
3653;Suboficial QSS BCT;Clovis Antonio Ramanauskas;247/SC;06/03/2006
3654;Cabo QCB SAD;Clovis Antonio Vieira de Souza;113/SC;22/02/2001
3655;Primeiro-Sargento QSS SGS;Clovis Bezerra de Lima;6/SCGC;08/01/2018
3656;Primeiro-Sargento QSS BMA;Clóvis Etiberê Osório Teles;841/SCC;01/12/1988
3657;Suboficial QSS BET;Clóvis Ferreira;161/SC;21/02/2003
3658;Suboficial QSS SEL;Clovis José de Souza;113/SC;22/02/2001
