QUALIFICAÇÃO;NOME;PORTARIA;DATA
Suboficial SMU;Jeremias de Oliveira Rufino;81/SC;40581
Suboficial QSS BEI;Jeremias José do Rosário;092/SCC;29971
Primeiro-Sargento de Aviação/Manutenção;Jerfferson Amadeu Ferreira ;80/SC;39504
Suboficial QSS BCO;Jeronimo Bastos da Motta;107/SC;39869
Primeiro-Tenente QOEA;Jerônimo Cesar de Araújo e Silva;091/SCC;29240
Segundo-Sargento;Jerônimo Costa da Silva;202/SC;38035
Suboficial QSS BSP;Jerônimo dos Santos de Almeida;90/SCC;36213
Suboficial QSS SAD;Jerônimo Giglio Lopes;98/SCC;35844
Suboficial QSS BCT;Jerri Talvanes Pereira da Silva;100/SCC;35481
Suboficial QSS BET;Jerry da Silva Vago;106/SC;39134
Suboficial QSS BEI;Jessé Bacellar Vianna;113/SC;36944
Suboficial QSS BSP;Jesse Cândido da Silva Júnior;113/SCC;36584
Suboficial QSS SMU;Jessé Mendes da Silva;161/SC;37673
Suboficial QSS BCT;Jésse Soares Justiniano;107/SC;39869
Primeiro-Sargento QSS SDE;Jessica Pereira Cruz Brandão;10/SCGC;43475
Suboficial QSS BMA;Jesus Ferreira;116/SCC;30701
Suboficial QSS BCT;Jésus Pereira da Silva;29/SCGC;29/01/2016
Primeiro-Sargento QSS BEI;Jeter Guimarães Pinto;1194/SCC;31761
Cabo QCB SEL;Jeterson Clay Pereira Galvão;80/SC;39504
Cabo QCB SEM;Jetro Anselmo Santos;90/SCC;36213
Primeiro-Sargento de Infantaria;Jeyller Henrique Rosa de Araujo;58/SC;40953
Primeiro-Sargento QSS BET;Jeyson Macedo Rodrigues;2/SCGC;43836
Terceiro-Sargento QSCON TES;Jhennifer Alves Da Conceição;1.659/SCGC;42725
Terceiro-Sargento QSS SAD;Jhony de Andrade Machado;182/SCGC;42053
Soldado BM (MT);Jhovib Pereira dos Santos;107/SC;40234
Senhora;Jilcéa de Medeiros Pring;1172/SCC;32126
Suboficial (ES);Jilmar dos Santos Gomes;2/SCGC;43836
Primeiro-Sargento QSS BCT;Jimi Aislan Estrázulas;6/SCGC;43108
Segundo-Sargento QSS BMT;Jimmy Nogueira de Castro;107/SC;39869
Segundo-Sargento SAD;Jiovani Gomes Carminatti;80/SC;39504
Primeiro-Sargento QSS SAD;Joab Lourenço Nogueira;130/SCGC;41673
Segundo-Sargento (Mar);Joabe de França Barros;841/SCC;32478
Primeiro-Sargento QSS SAD;Joabe Monteiro Moraes;107/SC;39869
Primeiro-Sargento QSS SMU;Joabe Pedro Batista;58/SC;40953
Primeiro-Sargento QSS BMA;Joacir Andrade de Oliveira Junior;6/SCGC;43108
Suboficial QSS SOB;Joacir da Costa Miranda;931/SCC;32854
Terceiro-Sargento QESA SAD;Joacir João Radel;204/SC;38405
Primeiro-Sargento QSS SML;Joacir Jorge de Jesus;051/SCC;34026
Suboficial QSS SAD;Joacy Antônio de Araujo;247/SC;38782
Primeiro-Sargento QSS SAD;Joacy Araújo Nunes Reis;113/SC;36944
Senhora;Joalice Sant'anna;100/SCC;35481
Terceiro-Sargento QSS BET;Joamir Pedro Sales da Silva;1813/SCC;31036
Primeiro-Sargento QFG SAD;Joanã Carvalho Mitoura Moreira;247/SC;38782
Senhora;Joana de Souza Correa;1194/SCC;31761
Primeiro-Sargento BMA;Joanes Gusatto;80/SC;39504
Senhora;Joanília Mesquita de Souza;160/SCC;34409
Primeiro-Sargento QSS SAD;Joanir dos Santos Costa;1057/SCC;31401
Senhora;Joanna D'Arc Guimarães de Moraes;092/SCC;29971
Segundo-Sargento QSS SAD;Joanne de Souza Costa;182/SCGC;42053
Primeiro-Sargento QSS BSP;Joanthas da Silva Ferreira;90/SCC;36213
Capitão QOEA COM;João Adão Marques Moreira;161/SC;37673
Suboficial QSS SEF;João Adolfo Garcia Caceres;2/SCGC;43836
Terceiro-Sargento QSS BET;João Adriano de Carvalho;1813/SCC;31036
Suboficial QSS BSP;João Afonso Marques Collyer;048/SCC;35082
Suboficial QSS SOB;João Agnelo Saraiva;160/SCC;34409
Suboficial (AV-VN);João Albert Pinto Carlos;204/SC;38405
Suboficial QSS BCT ;João Alberto Capilupe;1057/SCC;31401
Suboficial QSS BEP;João Alberto de Souza;107/SC;39869
Capitão QOEA SVM;João Alberto Machado Soares;051/SCC;34026
Suboficial QSS BMA;João Alberto Moreira Milhomem;116/SCC;30701
Suboficial QSS SEL;João Alberto Pereira;870/SCC;33592
Capitão;João Alberto Xavier Frazão;193/SCC;34750
Primeiro-Sargento QSS SDE;João Alessandro Ferreira Cardoso;247/SC;38782
Suboficial QSS BMA;João Alexandre dos Santos Veloso;58/SC;40953
Segundo-Sargento QSS BCO;João Alexandre Porto;107/SC;39869
Suboficial QSS BCO;João Alfredo de Oliveira;870/SCC;33592
Suboficial QSS BET;João Alfredo dos Santos Duarte;100/SCC;35481
Suboficial QSS BCO;Joao Alvaro Brandao de Andrade Madruga;10/SCGC;43475
Suboficial QSS BET;João Alves Bezerra;1813/SCC;31036
Segundo-Sargento QTA TBA;João Alves da Silva;202/SC;38035
Terceiro-Sargento QSS SMU;João Alves de Lima;086/SCC;30336
Terceiro-Sargento QC (DT);João Alves de Oliveira;091/SCC;29240
